epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5408,0.49932,0.71615,2.14946,0.92135,0.53912,0.8377,0.72351,0.64666,0.49127,0.8123,0.63721,0.42702,0.43478,1.28015,1.56673,0.86163,0.000468525,0.000468525,0.000468525
2,19.9228,0.51358,0.50784,1.27511,0.90619,0.85576,0.95141,0.9634,0.84968,0.85576,0.95141,0.96467,0.80717,0.44469,0.58567,1.1261,0.8479,0.000921473,0.000921473,0.000921473
3,28.2454,0.53246,0.49728,1.12566,0.90723,0.7448,0.82253,0.82522,0.72291,0.69086,0.7156,0.78178,0.54162,0.5705,1.47182,1.64655,0.93405,0.00135084,0.00135084,0.00135084
4,36.4286,0.53551,0.47925,0.99422,0.90752,0.88443,0.88161,0.92732,0.80601,0.88443,0.88161,0.92732,0.81808,0.52847,0.43782,1.03643,0.89347,0.0013229,0.0013229,0.0013229
5,44.6528,0.48784,0.43856,0.88843,0.89436,0.91634,0.98805,0.94724,0.86073,0.91634,0.98805,0.94724,0.89127,0.41032,0.33305,0.86741,0.83972,0.00128753,0.00128753,0.00128753
6,52.9665,0.48959,0.45292,0.8696,0.89771,0.94778,0.96028,0.96085,0.87774,0.94778,0.96028,0.96085,0.86878,0.39521,0.35462,0.77461,0.84102,0.00125216,0.00125216,0.00125216
7,61.229,0.46025,0.45125,0.84635,0.88591,0.9261,0.97763,0.97585,0.88858,0.9261,0.97763,0.97585,0.85751,0.38115,0.45962,0.80952,0.84466,0.00121679,0.00121679,0.00121679
8,69.4947,0.44588,0.43847,0.77782,0.88511,0.9347,1,0.96367,0.9068,0.9347,1,0.96367,0.89318,0.36307,0.39577,0.62312,0.82187,0.00118143,0.00118143,0.00118143
9,77.7985,0.4597,0.45,0.77865,0.87963,0.94376,0.97551,0.96558,0.90527,0.94376,0.97551,0.96558,0.90469,0.33887,0.31268,0.60112,0.80853,0.00114606,0.00114606,0.00114606
10,86.1199,0.43339,0.4371,0.70643,0.87634,0.91478,1,0.96563,0.92854,0.91478,1,0.96563,0.88673,0.30711,0.37759,0.55518,0.79752,0.00111069,0.00111069,0.00111069
11,94.3897,0.40991,0.42415,0.64891,0.87171,0.94861,0.99639,0.98815,0.95861,0.94861,0.99639,0.98815,0.9208,0.27852,0.30578,0.46282,0.7882,0.00107532,0.00107532,0.00107532
12,102.628,0.42269,0.42344,0.63939,0.87344,0.94361,1,0.97629,0.94655,0.94361,1,0.97629,0.91292,0.26676,0.31273,0.44783,0.78722,0.00103995,0.00103995,0.00103995
13,110.911,0.40428,0.42412,0.61685,0.87127,0.94015,1,0.97425,0.9299,0.94015,1,0.97425,0.93125,0.30397,0.29389,0.42368,0.79094,0.00100459,0.00100459,0.00100459
14,119.124,0.40595,0.41153,0.59987,0.86758,0.91527,0.97725,0.94519,0.92751,0.91527,0.97725,0.94519,0.91207,0.27038,0.27738,0.52471,0.79613,0.000969219,0.000969219,0.000969219
15,127.411,0.39514,0.41226,0.58104,0.86983,0.94531,0.9975,0.97754,0.95215,0.94531,0.9975,0.97754,0.91193,0.27395,0.4104,0.40693,0.78622,0.000933851,0.000933851,0.000933851
16,135.645,0.3826,0.40828,0.57782,0.86377,0.92482,0.95611,0.97189,0.94092,0.92482,0.95611,0.97189,0.92267,0.28714,0.29629,0.4588,0.8008,0.000898484,0.000898484,0.000898484
17,143.912,0.37817,0.39645,0.55228,0.861,0.94477,0.99817,0.98613,0.93817,0.94477,0.99817,0.98613,0.93224,0.29216,0.29354,0.39615,0.80421,0.000863116,0.000863116,0.000863116
18,152.087,0.37239,0.39244,0.51747,0.86145,0.93035,0.98197,0.9653,0.93737,0.93035,0.98197,0.9653,0.91318,0.28698,0.30722,0.41476,0.79744,0.000827748,0.000827748,0.000827748
19,160.26,0.38205,0.40859,0.5327,0.86474,0.92492,0.98039,0.9766,0.93606,0.92492,0.98039,0.9766,0.92569,0.27966,0.28508,0.40095,0.79436,0.00079238,0.00079238,0.00079238
20,168.47,0.36367,0.37808,0.49747,0.85482,0.96442,0.95472,0.97448,0.95263,0.96442,0.95472,0.97448,0.92372,0.24112,0.28884,0.37499,0.78836,0.000757013,0.000757013,0.000757013
21,176.879,0.35141,0.38397,0.477,0.85959,0.95758,0.99714,0.98921,0.97202,0.95758,0.99714,0.98921,0.94002,0.22141,0.34529,0.32736,0.77654,0.000721645,0.000721645,0.000721645
22,185.116,0.34618,0.36914,0.48113,0.85303,0.94443,0.9978,0.97901,0.94469,0.94443,0.9978,0.97901,0.93283,0.26159,0.26199,0.35849,0.77809,0.000686277,0.000686277,0.000686277
23,193.353,0.35595,0.38182,0.48572,0.85696,0.92894,0.98039,0.96638,0.95616,0.92894,0.98039,0.96638,0.92597,0.22598,0.28902,0.36304,0.77528,0.000650909,0.000650909,0.000650909
24,201.604,0.33254,0.36057,0.43967,0.85411,0.94854,0.98039,0.97027,0.95887,0.94854,0.98039,0.97027,0.92275,0.19559,0.28065,0.3443,0.77795,0.000615542,0.000615542,0.000615542
25,209.853,0.33727,0.37451,0.4467,0.84994,0.94958,0.98039,0.95831,0.93584,0.94958,0.98039,0.95831,0.91287,0.2461,0.2797,0.35408,0.78022,0.000580174,0.000580174,0.000580174
26,218.159,0.32421,0.38501,0.42483,0.85023,0.94856,0.98039,0.97212,0.97212,0.94856,0.98039,0.97212,0.9342,0.19772,0.27066,0.33531,0.775,0.000544806,0.000544806,0.000544806
27,226.417,0.33413,0.39019,0.42989,0.85284,0.95792,1,0.98338,0.96732,0.95792,1,0.98338,0.95494,0.21956,0.25532,0.3275,0.77632,0.000509438,0.000509438,0.000509438
28,234.802,0.32681,0.37803,0.42645,0.84959,0.96485,0.97731,0.97452,0.94586,0.96485,0.97731,0.97452,0.93136,0.22346,0.26011,0.30997,0.77629,0.000474071,0.000474071,0.000474071
