epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.2978,1.09821,1.46677,1.28711,0.72632,0.61722,0.66223,0.43044,1.28703,1.62262,1.56854,0.00066459,0.00066459,0.00066459
2,57.5007,1.1734,1.24288,1.34018,0.7666,0.69537,0.76364,0.51115,1.18431,1.35055,1.45691,0.00128733,0.00128733,0.00128733
3,84.238,1.18105,1.17309,1.34568,0.78242,0.73394,0.78879,0.54625,1.11538,1.20377,1.40403,0.00186606,0.00186606,0.00186606
4,110.658,1.15697,1.11194,1.33685,0.78741,0.7152,0.78058,0.53946,1.10483,1.13376,1.37866,0.001802,0.001802,0.001802
5,137.32,1.12342,1.06072,1.31941,0.74445,0.74583,0.78336,0.54494,1.05624,1.2127,1.3378,0.001736,0.001736,0.001736
6,163.788,1.09526,1.00938,1.29368,0.81698,0.72951,0.81233,0.58704,1.02301,1.01038,1.31821,0.00167,0.00167,0.00167
7,190.502,1.05482,0.96443,1.27488,0.82507,0.7551,0.83981,0.61432,0.98794,0.96048,1.2945,0.001604,0.001604,0.001604
8,217.136,1.03568,0.93972,1.26317,0.84155,0.78578,0.86145,0.63143,0.99314,0.87169,1.25925,0.001538,0.001538,0.001538
9,243.801,1.03629,0.91962,1.26061,0.83481,0.79476,0.86056,0.64799,0.933,0.84944,1.22886,0.001472,0.001472,0.001472
10,270.558,1.00509,0.87799,1.23589,0.83577,0.7959,0.87106,0.65215,0.91528,0.84333,1.21853,0.001406,0.001406,0.001406
11,297.126,0.99172,0.86911,1.23458,0.85623,0.80994,0.87846,0.66416,0.89771,0.78231,1.20806,0.00134,0.00134,0.00134
12,324.221,0.97396,0.83965,1.21982,0.84261,0.81335,0.8835,0.66916,0.86973,0.78923,1.19307,0.001274,0.001274,0.001274
13,353.006,0.96766,0.83309,1.21621,0.856,0.82473,0.8914,0.67223,0.86091,0.80717,1.17166,0.001208,0.001208,0.001208
14,381.65,0.9414,0.79537,1.2015,0.88704,0.8088,0.89009,0.68811,0.84547,0.76063,1.15354,0.001142,0.001142,0.001142
15,409.74,0.93777,0.77582,1.18408,0.86551,0.82018,0.89754,0.69762,0.82391,0.70511,1.14198,0.001076,0.001076,0.001076
16,436.662,0.9236,0.76693,1.18683,0.86014,0.83839,0.90471,0.70258,0.83397,0.70241,1.15139,0.00101,0.00101,0.00101
17,465.728,0.92051,0.76649,1.18268,0.84756,0.83104,0.89384,0.69356,0.81625,0.72866,1.14272,0.000944,0.000944,0.000944
18,494.702,0.91665,0.73952,1.17718,0.85142,0.83475,0.90106,0.69888,0.81563,0.73474,1.1391,0.000878,0.000878,0.000878
19,521.705,0.8886,0.72471,1.15842,0.85777,0.8374,0.90687,0.71693,0.79649,0.68417,1.12664,0.000812,0.000812,0.000812
20,548.45,0.88237,0.70387,1.15145,0.86059,0.85015,0.90911,0.71609,0.78984,0.6652,1.11807,0.000746,0.000746,0.000746
21,575.154,0.82319,0.65094,1.11975,0.87373,0.83839,0.90856,0.70893,0.79401,0.66116,1.12024,0.00068,0.00068,0.00068
22,602.64,0.81198,0.64084,1.11165,0.88314,0.82571,0.90795,0.72254,0.77425,0.64926,1.11051,0.000614,0.000614,0.000614
23,628.992,0.79297,0.61493,1.09532,0.85027,0.866,0.91532,0.72723,0.77311,0.64095,1.10425,0.000548,0.000548,0.000548
24,654.651,0.78526,0.60641,1.09236,0.86911,0.84889,0.91445,0.72951,0.75389,0.63352,1.09303,0.000482,0.000482,0.000482
25,680.219,0.77324,0.58453,1.07675,0.90154,0.83725,0.91798,0.73405,0.75271,0.61816,1.09246,0.000416,0.000416,0.000416
26,705.709,0.75658,0.56606,1.06588,0.8848,0.85205,0.92237,0.73844,0.74825,0.59885,1.08801,0.00035,0.00035,0.00035
27,731.756,0.75021,0.56125,1.05589,0.88056,0.86077,0.9227,0.73968,0.74356,0.59773,1.08417,0.000284,0.000284,0.000284
28,757.571,0.74599,0.54525,1.06551,0.88394,0.86571,0.92578,0.747,0.72679,0.59107,1.074,0.000218,0.000218,0.000218
29,783.434,0.73391,0.53604,1.05608,0.88984,0.86419,0.92623,0.74874,0.72919,0.57454,1.07721,0.000152,0.000152,0.000152
30,808.879,0.72197,0.52216,1.04887,0.89894,0.86385,0.92904,0.74929,0.72517,0.57527,1.07148,8.6e-05,8.6e-05,8.6e-05
