epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2483,0.49705,0.68908,1.77718,0.90496,0.93157,0.91464,0.96909,0.87782,0.91937,0.90144,0.9548,0.74323,0.38415,0.87254,0.95215,0.80484,0.000472697,0.000472697,0.000472697
2,42.0816,0.49379,0.51491,0.99588,0.88381,0.84955,0.96489,0.95564,0.86716,0.84955,0.96489,0.95564,0.84171,0.39209,0.46293,1.01701,0.80004,0.000925542,0.000925542,0.000925542
3,60.895,0.51316,0.50306,0.91567,0.88616,0.9529,0.99026,0.9805,0.90395,0.93915,0.97765,0.96137,0.79542,0.40813,0.6583,0.7128,0.81193,0.00135481,0.00135481,0.00135481
4,80.7799,0.49642,0.50353,0.80905,0.89809,0.95488,0.99202,0.98411,0.90915,0.95488,0.99202,0.98411,0.89935,0.35688,0.39279,0.56657,0.78929,0.0013229,0.0013229,0.0013229
5,100.681,0.48252,0.49174,0.71725,0.88881,0.97116,0.99015,0.98235,0.90075,0.97116,0.99015,0.98235,0.898,0.38407,0.37133,0.54116,0.78724,0.00128753,0.00128753,0.00128753
6,119.999,0.45757,0.47771,0.67363,0.88141,0.95042,0.98657,0.98138,0.93611,0.95042,0.98657,0.98138,0.89967,0.31114,0.3749,0.43065,0.78839,0.00125216,0.00125216,0.00125216
7,138.26,0.42764,0.44735,0.59339,0.86932,0.97321,1,0.99176,0.9487,0.97321,1,0.99176,0.91168,0.30667,0.34598,0.37786,0.77521,0.00121679,0.00121679,0.00121679
8,157.263,0.42435,0.43919,0.58239,0.87019,0.96948,0.9932,0.9874,0.94508,0.96948,0.9932,0.9874,0.87958,0.28835,0.39383,0.35531,0.76952,0.00118143,0.00118143,0.00118143
9,176.57,0.40128,0.4541,0.53699,0.8621,0.96315,0.98492,0.9886,0.96017,0.96315,0.98492,0.9886,0.92252,0.27845,0.33683,0.33909,0.77279,0.00114606,0.00114606,0.00114606
10,194.778,0.3985,0.42682,0.51378,0.85846,0.97619,0.99497,0.98693,0.93786,0.97619,0.99497,0.98693,0.91663,0.3049,0.31602,0.33001,0.76944,0.00111069,0.00111069,0.00111069
